Date,Open,High,Low,Close,Adj Close,Volume
2022-11-03,72.500000,72.900002,71.720001,71.900002,71.900002,4454600
2022-11-04,72.080002,72.339996,71.449997,71.959999,71.959999,4333100
2022-11-07,71.519997,71.680000,70.940002,71.099998,71.099998,8740900
2022-11-08,71.750000,72.559998,71.349998,72.000000,72.000000,8805000
2022-11-09,71.860001,72.209999,71.639999,71.660004,71.660004,4422100
2022-11-10,72.599998,73.739998,72.029999,73.620003,73.620003,9191700
2022-11-11,73.750000,74.470001,73.570000,74.139999,74.139999,4453900
2022-11-14,74.360001,74.440002,73.919998,73.959999,73.959999,5513800
2022-11-15,74.599998,74.669998,73.279999,73.879997,73.879997,6767600
2022-11-16,74.110001,74.639999,73.989998,74.349998,74.349998,5514500
2022-11-17,73.400002,74.110001,73.379997,73.809998,73.809998,7084200
2022-11-18,74.160004,74.290001,73.839996,74.099998,74.099998,7745400
2022-11-21,74.099998,74.910004,73.750000,74.800003,74.800003,6223600
2022-11-22,75.290001,76.059998,74.959999,75.879997,75.879997,5302700
2022-11-23,75.900002,76.599998,75.739998,76.589996,76.589996,3936100
2022-11-25,73.889999,74.269997,73.050003,73.470001,73.470001,9179800
2022-11-28,74.570000,75.669998,73.650002,74.720001,74.720001,10881600
2022-11-29,74.250000,74.540001,73.800003,74.339996,74.339996,6277600
2022-11-30,73.779999,74.000000,73.449997,73.949997,73.949997,9736700
2022-12-01,74.430000,75.440002,73.919998,75.190002,75.190002,7389900
2022-12-02,74.699997,75.970001,74.570000,75.760002,75.760002,6146900
2022-12-05,76.989998,77.010002,76.040001,76.330002,76.330002,7570800
2022-12-06,76.589996,76.930000,76.099998,76.110001,76.110001,8052500
2022-12-07,76.760002,77.080002,74.750000,75.930000,75.930000,11773000
2022-12-08,75.440002,75.519997,73.000000,74.760002,74.760002,19336100
2022-12-09,74.510002,75.470001,74.050003,75.160004,75.160004,8249900
2022-12-12,75.000000,77.550003,74.379997,77.360001,77.360001,11321200
2022-12-13,77.349998,77.349998,76.449997,76.730003,76.730003,8246100
2022-12-14,76.660004,77.410004,76.660004,77.040001,77.040001,4889600
2022-12-15,76.709999,76.809998,76.260002,76.370003,76.370003,6994200
2022-12-16,76.050003,76.589996,75.919998,76.080002,76.080002,8680400
2022-12-19,76.150002,76.470001,75.940002,75.989998,75.989998,3109600
2022-12-20,75.699997,76.330002,75.680000,75.879997,75.879997,3189500
2022-12-21,75.970001,76.209999,75.470001,75.889999,75.889999,4922100
2022-12-22,75.620003,75.940002,75.550003,75.699997,75.699997,3139900
2022-12-23,75.699997,76.070000,75.500000,75.949997,75.949997,2069300
2022-12-27,75.900002,76.050003,75.540001,75.790001,75.790001,1728900
2022-12-28,75.639999,76.480003,75.500000,76.050003,76.050003,3049900
2022-12-29,76.040001,76.870003,76.029999,76.760002,76.760002,3150100
2022-12-30,76.500000,76.660004,76.220001,76.550003,76.550003,2710400
2023-01-03,76.599998,76.930000,76.400002,76.879997,76.879997,3990300
